school_name,address,postal_code,mrt_desc,dgp_code,zone_code,mainlevel_code
CEDAR PRIMARY SCHOOL,15   CEDAR AVENUE,349700,Potong Pasir MRT Station,TOA PAYOH,SOUTH,PRIMARY
ST. ANDREW'S JUNIOR COLLEGE,5    Sorby Adams Drive,357691,Potong Pasir NE10,TOA PAYOH,SOUTH,JUNIOR COLLEGE
ST. ANDREW'S JUNIOR SCHOOL,2    FRANCIS THOMAS DRIVE,359337,"Potong Pasir,Toa Payoh",TOA PAYOH,SOUTH,PRIMARY
ST. ANDREW'S SECONDARY SCHOOL,15   FRANCIS THOMAS DRIVE,359342,POTONG PASIR MRT,TOA PAYOH,SOUTH,SECONDARY
MARIS STELLA HIGH SCHOOL,25   MOUNT VERNON ROAD,368051,BARTLEY MRT,TOA PAYOH,NORTH,PRIMARY
CANOSSA CATHOLIC PRIMARY SCHOOL,1    Sallim Road,387621,Nearest MRT station: Mattar Station (about 7-minute walk),GEYLANG,EAST,PRIMARY
ST. MARGARET'S PRIMARY SCHOOL,2    Mattar Road,387724,Mattar MRT Station (DT25),CENTRAL,SOUTH,PRIMARY
GEYLANG METHODIST SCHOOL (SECONDARY),2    GEYLANG EAST CENTRAL,389705,ALJUNIED MRT,GEYLANG,EAST,SECONDARY
GEYLANG METHODIST SCHOOL (PRIMARY),4    Geylang East Central,389706,Aljunied,GEYLANG,EAST,PRIMARY
KONG HWA SCHOOL,350  GUILLEMARD ROAD,399772,Dakota,GEYLANG,EAST,PRIMARY
BROADRICK SECONDARY SCHOOL,61   DAKOTA CRESCENT,399935,DAKOTA MRT,GEYLANG,EAST,SECONDARY
MAHA BODHI SCHOOL,10   UBI AVENUE 1,408931,"Eunos Station (Transfer Bus No.63, 63M) Ubi Station (Transfer Bus No. 137)",GEYLANG,EAST,PRIMARY
MANJUSRI SECONDARY SCHOOL,20   UBI AVENUE 1,408940,"UBI MRT, MACPHERSON MRT",GEYLANG,EAST,SECONDARY
EUNOS PRIMARY SCHOOL,95   JALAN EUNOS,419529,Nearest MRT Station - Eunos,GEYLANG,EAST,PRIMARY
CHIJ (KATONG) PRIMARY,17   MARTIA ROAD,424821,EUNOS PAYA LEBAR,BEDOK,EAST,PRIMARY
HAIG GIRLS' SCHOOL,51   Koon Seng Road,427072,"Eunos, Dakota",GEYLANG,EAST,PRIMARY
ST. PATRICK'S SCHOOL,490  EAST COAST ROAD,429058,KEMBANGAN MRT,BEDOK,EAST,SECONDARY
DUNMAN HIGH SCHOOL,10   TANJONG RHU ROAD,436895,"ALJUNIED MRT, KALLANG MRT, MOUNTBATTEN MRT",KALLANG,EAST,MIXED LEVELS
TANJONG KATONG PRIMARY SCHOOL,10   Seraya Road,437259,na,MARINE PARADE,EAST,PRIMARY
TANJONG KATONG SECONDARY SCHOOL,130  HAIG ROAD,438796,"PAYA LEBAR MRT, DAKOTA MRT",MARINE PARADE,EAST,SECONDARY
CHUNG CHENG HIGH SCHOOL (MAIN),50   GOODMAN ROAD,439012,DAKOTA MRT,MARINE PARADE,EAST,SECONDARY
TANJONG KATONG GIRLS' SCHOOL,20   Dunman Lane,439272,"PAYA LEBAR MRT, DAKOTA MRT",MARINE PARADE,EAST,SECONDARY
VICTORIA SCHOOL,2    SIGLAP LINK,448880,"BEDOK MRT, PAYA LEBAR MRT",BEDOK,EAST,SECONDARY
VICTORIA JUNIOR COLLEGE,20   MARINE VISTA,449035,"Nearest MRT Stations:  Kembangan, Eunos",BEDOK,EAST,JUNIOR COLLEGE
NGEE ANN PRIMARY SCHOOL,344  MARINE TERRACE,449149,Nil,MARINE PARADE,EAST,PRIMARY
CHIJ KATONG CONVENT,346  MARINE TERRACE,449150,"BEDOK MRT, KEMBANGAN MRT, EUNOS MRT, PAYA LEBAR MRT",MARINE PARADE,EAST,SECONDARY
TAO NAN SCHOOL,49   MARINE CRESCENT,449761,"Paya Lebar, Eunos",MARINE PARADE,EAST,PRIMARY
ST. STEPHEN'S SCHOOL,20   SIGLAP VIEW,455789,Kembangan MRT Station,BEDOK,EAST,PRIMARY
OPERA ESTATE PRIMARY SCHOOL,48   FIDELIO STREET,458436,"Bedok, Kembangan",BEDOK,EAST,PRIMARY
TEMASEK SECONDARY SCHOOL,600  UPPER EAST COAST ROAD,465561,"BEDOK MRT, TANAH MERAH MRT",BEDOK,EAST,SECONDARY
BEDOK SOUTH SECONDARY SCHOOL,1    JALAN LANGGAR BEDOK,468585,TANAH MERAH MRT,BEDOK,EAST,SECONDARY
PING YI SECONDARY SCHOOL,61   CHAI CHEE STREET,468980,BEDOK MRT,BEDOK,EAST,SECONDARY
TEMASEK JUNIOR COLLEGE,22   BEDOK SOUTH ROAD,469278,BEDOK MRT,BEDOK,EAST,MIXED LEVELS
BEDOK VIEW SECONDARY SCHOOL,6    BEDOK SOUTH AVENUE 3,469293,TANAH MERAH MRT,BEDOK,EAST,SECONDARY
TEMASEK PRIMARY SCHOOL,501  BEDOK SOUTH AVE 3,469300,Tanah Merah MRT,BEDOK,EAST,PRIMARY
BEDOK GREEN PRIMARY SCHOOL,1    BEDOK SOUTH AVE 2,469317,"Bedok MRT Station, Tanah Merah MRT Station",BEDOK,EAST,PRIMARY
YU NENG PRIMARY SCHOOL,56   BEDOK NORTH ST 3,469623,"Bedok MRT Station (East-West Line), Bedok Reservoir MRT STation (Downtown line)",BEDOK,EAST,PRIMARY
FENGSHAN PRIMARY SCHOOL,307  BEDOK NORTH ROAD,469680,Bedok MRT,BEDOK,EAST,PRIMARY
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1600 BEDOK NORTH AVENUE 4,469700,"BEDOK MRT, BEDOK RESERVOIR MRT",BEDOK,EAST,SECONDARY
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4,469701,Bedok MRT,BEDOK,EAST,PRIMARY
RED SWASTIKA SCHOOL,350  BEDOK NORTH AVENUE 3,469719,Bedok Reservoir MRT,BEDOK,EAST,PRIMARY
BEDOK GREEN SECONDARY SCHOOL,360  BEDOK NORTH AVE 3,469722,"BEDOK MRT, BEDOK RESERVOIR MRT",BEDOK,EAST,SECONDARY
