address,mrt,mrt_dist,num_mrt_1km,mall,mall_dist,num_mall_1km,supermarket,supermarket_dist,num_supermarket_1km,hawker_dist,num_hawker_1km,park_dist,num_park_1km,school,school_dist,num_school_1km,number_school_btw_1km_2km,cityhall_dist
375 BT BATOK ST 31,BUKIT GOMBAK MRT STATION,0.2046890777691882,1,West Mall,0.923441059793833,1,650376,0.06118210144619381,7,0.9857009491381925,1,0.6696163297391381,3,659441,0.23941248559074546,3,4,13.435867534657108
818 WOODLANDS ST 82,WOODLANDS MRT STATION,0.6525900013656315,3,Woodlands North Plaza,0.13889911738765154,4,730883,0.1600135504045411,4,1.2137390374483819,0,0.9186668731453701,1,738525,0.18173609899033255,4,7,17.81652029339046
203 TOA PAYOH NTH,BRADDELL MRT STATION,0.33824470866589995,2,Junction 8,0.9346470126158443,2,310095,0.34325190806253464,7,0.3963789634920308,5,0.9725605614915852,2,579806,0.4022379892239964,4,5,5.415531717426201
445 HOUGANG AVE 8,BUANGKOK MRT STATION,0.43619751039968907,4,Hougang Green Shopping Mall,0.7189300369150248,2,543277,0.3639455452778467,6,0.41852952474943556,1,0.5416136151679429,1,538787,0.10976075503884267,6,10,10.606370607401654
133 POTONG PASIR AVE 1,POTONG PASIR MRT STATION,0.479270747091013,2,The Poiz,0.40588216275905986,1,358361,0.23758018163983882,8,0.9193793444008411,2,0.9461556962731253,2,359337,0.33326627754691873,1,9,4.806411528530917
769 BEDOK RESERVOIR VIEW,BEDOK RESERVOIR MRT STATION,0.6413625045761326,1,Bedok Point,1.2410875267897037,0,460089,0.38119299732817197,4,0.8604226450940516,1,0.7309396775907598,1,469701,0.3877671574512383,4,6,10.657854715814095
206 BT BATOK ST 21,BUKIT BATOK MRT STATION,0.26220715951127377,1,West Mall,0.37044726460794436,1,659958,0.22551533172499735,9,1.2641043332470074,0,1.3965889702032177,0,659634,0.4386938442983726,3,6,12.86483972305767
441 CHOA CHU KANG AVE 4,CHOA CHU KANG LRT STATION,0.5717309682945153,3,Sunshine Place,0.5625952195704397,3,680410,0.3173387403665478,4,2.4321218531143614,0,1.180472526282201,0,689814,0.5125745171499845,3,3,15.953013447276463
525 WOODLANDS DR 14,WOODLANDS SOUTH MRT STATION,0.5639615910711671,3,Vista Point,0.17473847343617585,4,730548,0.21677024507874174,6,1.1810686380186268,0,1.6277781451143414,0,738079,0.3391407401950545,5,6,16.721484781250915
611 ANG MO KIO AVE 5,MAYFLOWER MRT STATION,0.5888344144123112,3,Broadway Plaza,1.1960945533083736,0,560161,0.5231325051543942,1,0.4735310294732826,2,0.2653733615522385,14,569948,0.2867384151696269,3,2,9.557199505683933
